strategy_name,strategy_type,strategy_readout,scenario_readout,response_multiplier,cost_multiplier,targeted_customers,avg_predicted_churn_probability,actual_future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,gross_value_at_risk_proxy,adjusted_expected_response_rate,expected_customers_saved,expected_saved_clv_proxy,campaign_cost_proxy,net_save_value_proxy,roi_proxy,break_even_response_rate,budget_cap,budget_utilization,budget_status,scenario_name,recommended_decision
All positive ROI paid-offer candidates,Full eligible pool,Full economically positive paid-offer population from save-worthiness scoring.,Larger campaign push with higher execution cost.,1.4,1.15,71437,0.5802223555187201,0.5841090751291348,163365143.51083335,124493288.42166667,124214037.12722433,0.13732089813402018,6586.964664947173,23268292.534527536,909976.3124999999,22358316.222027536,24.5702178341346,0.007325873416125833,2000000.0,0.45498815624999994,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,"Top 50,000 customers ranked by expected net save value.",Larger campaign push with higher execution cost.,1.4,1.15,50000,0.787062408246625,0.79092,142717765.59083337,122584411.86333334,122375756.02599688,0.16025744,6418.492256545314,23107806.894676354,798414.5249999999,22309392.369676355,27.942117372772444,0.006524286761753601,2000000.0,0.39920726249999994,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
Critical risk elite/high value,Risk/value,Critical churn risk with strong customer value.,Larger campaign push with higher execution cost.,1.4,1.15,43405,0.8195447122169719,0.8257113235802327,132773533.79333335,120287556.69666666,119893038.14034757,0.17568556617901165,6272.224250297232,22960108.208369628,777767.9999999999,22182340.208369628,28.520510240032543,0.006487182342393723,2000000.0,0.38888399999999995,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
Premium save budget only,Budget tier,Paid-offer candidates already assigned premium save budget.,Larger campaign push with higher execution cost.,1.4,1.15,45511,0.6786089107484756,0.6819230515699501,142805469.06166667,117339601.3725,117157572.28858222,0.17948953000373538,5981.433757075187,22835253.735594515,833378.5499999998,22001875.185594514,26.400817714344242,0.007113313580339681,2000000.0,0.4166892749999999,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
Immediate premium save offer only,Action,Highest urgency premium-save action group.,Larger campaign push with higher execution cost.,1.4,1.15,36407,0.8244883514754041,0.8293734721344797,127181564.91083336,115936860.99666665,115615837.60750234,0.19600000000000004,5883.360892784349,22660704.17107046,753624.8999999999,21907079.27107046,29.06894301272485,0.006518353502384668,2000000.0,0.37681244999999997,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
"Top 25,000 by net save value",Top-N,"Top 25,000 customers ranked by expected net save value.",Larger campaign push with higher execution cost.,1.4,1.15,25000,0.9352699849392696,0.9424,114084799.67083336,110752407.74,110513484.45878313,0.19600000000000004,4582.8229262024215,21660642.953921493,517499.9999999999,21143142.953921493,40.856314886804824,0.0046826864842272305,2000000.0,0.2587499999999999,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
Tiers 1 to 4 test-and-learn,Priority tier,Controlled campaign test population before wider rollout.,Larger campaign push with higher execution cost.,1.4,1.15,14287,0.9902609366019808,0.9915307622313991,98145563.32750002,97180495.40333334,97137840.07514554,0.19600000000000004,2772.98016824157,19039016.654728524,295740.8999999999,18743275.754728526,63.37735414590451,0.003044548857285849,2000000.0,0.14787044999999996,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
"Top 10,000 by net save value",Top-N,"Top 10,000 customers ranked by expected net save value.",Larger campaign push with higher execution cost.,1.4,1.15,10000,0.9930626459514111,0.994,84668179.32083334,84062464.80666667,83999500.71939199,0.19600000000000004,1946.4027860647657,16463902.141000831,206999.99999999994,16256902.141000831,78.53575913526974,0.0024643003616355097,2000000.0,0.10349999999999997,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
Tiers 1 to 3 targeted save,Priority tier,Focused paid-retention campaign population.,Larger campaign push with higher execution cost.,1.4,1.15,7143,0.9939370324588817,0.994960100797984,70316694.96583334,69913911.13416667,69843492.41847956,0.196,1391.539675679343,13689324.514021993,147860.09999999998,13541464.414021993,91.58295181744091,0.0021170204249534117,2000000.0,0.07393004999999998,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
"Top 5,000 by net save value",Top-N,"Top 5,000 customers ranked by expected net save value.",Larger campaign push with higher execution cost.,1.4,1.15,5000,0.9962181531535939,0.9982,55097758.77666667,54979764.406666666,54860553.62024709,0.19599999999999995,976.293790090522,10752668.509568429,103500.0,10649168.509568429,102.89051700066115,0.001886601449858534,2000000.0,0.05175,Within budget and positive ROI,Aggressive growth,Recommended campaign candidate
