lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation,priority_rank,segment_label,future_churned_clv_display,customer_display
Long-tenure,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,14690,0.817426820966644,0.8140968161436886,1.261061946902655,1.0,0.9918707874303851,72578474.78916657,66933351.19250099,831.7606761969595,182135368.9382151,Highest priority lifecycle segment,1,Long-tenure / High engagement / High revenue / Elite value / Critical risk,$66.93M,"14,690"
Established,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,7391,0.8193749154376945,0.8154135054039657,1.0819916114192938,1.0,0.997623755849978,27177197.254998144,24622967.524998445,697.0002705993776,67051301.68200815,Highest priority lifecycle segment,2,Established / High engagement / High revenue / Elite value / Critical risk,$24.62M,"7,391"
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2367,0.9286016054076892,0.918927817543274,3.865230249260667,2.0,0.7986119881208642,9732401.174166724,9551678.760000024,695.4295169694411,27493473.11520194,Highest priority lifecycle segment,3,Long-tenure / High engagement / No observed revenue / Elite value / Critical risk,$9.55M,"2,367"
Early lifecycle,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2865,0.5256544502617801,0.522094332185104,1.068760907504363,1.0,0.9992321116928448,5516467.937499996,3826643.274999991,402.5657940663176,8736768.060257595,Highest priority lifecycle segment,4,Early lifecycle / High engagement / High revenue / Elite value / Critical risk,$3.83M,"2,865"
Established,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1039,0.9056785370548605,0.8961426031944747,2.803657362848893,2.0,0.8565820416192655,2773199.184166661,2680643.4741666624,503.0522938723132,7624323.443013984,Highest priority lifecycle segment,5,Established / High engagement / No observed revenue / Elite value / Critical risk,$2.68M,"1,039"
Long-tenure,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,3267,0.8062442607897153,0.798029821280987,3.1068258340985615,2.0,0.9571414954645278,3179716.247500004,2497911.6174999923,149.0,6736979.368783819,Highest priority lifecycle segment,6,Long-tenure / High engagement / Medium revenue / High value / Critical risk,$2.50M,"3,267"
Long-tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1477,0.906567366283006,0.903488314290744,3.1665538253215977,1.0,0.9945624824557204,2096997.9550000264,1893994.5483333596,299.69329722410293,5407794.735124389,Highest priority lifecycle segment,7,Long-tenure / No observed activity / High revenue / Elite value / Critical risk,$1.89M,"1,477"
Long-tenure,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3666,0.7244953627932351,0.7166563654000304,3.9871794871794872,2.0,0.9313140365564808,3612146.904166699,2584617.0458333446,138.206401163848,3327674.477888425,Lifecycle monitoring segment,8,Long-tenure / High engagement / Medium revenue / Core value / Critical risk,$2.58M,"3,666"
Long-tenure,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,21809,0.0627263973588885,0.0648354004430858,1.1078912375624743,1.0,0.9961097667762936,30870258.68333376,1851637.125000002,217.92785852935333,2957533.139211992,Highest priority lifecycle segment,9,Long-tenure / High engagement / High revenue / Elite value / High risk,$1.85M,"21,809"
Long-tenure,High engagement,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1362,0.7812041116005873,0.764060671559415,4.417033773861967,2.0,0.9122182822268596,1403639.1524999968,1023437.707499998,155.62310327949066,2708109.3143875115,Highest priority lifecycle segment,10,Long-tenure / High engagement / Medium revenue / Elite value / Critical risk,$1.02M,"1,362"
