strategy_name,strategy_type,scenario_name,targeted_customers,expected_customers_saved,expected_saved_clv_proxy,campaign_cost_proxy,net_save_value_proxy,roi_proxy,break_even_response_rate,budget_cap,budget_utilization,budget_status,recommended_decision
All positive ROI paid-offer candidates,Full eligible pool,Aggressive growth,71437,6586.964664947173,23268292.534527536,909976.3124999999,22358316.222027536,24.5702178341346,0.007325873416125833,2000000.0,0.45498815624999994,Within budget and positive ROI,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,Aggressive growth,50000,6418.492256545314,23107806.894676354,798414.5249999999,22309392.369676355,27.942117372772444,0.006524286761753601,2000000.0,0.39920726249999994,Within budget and positive ROI,Recommended campaign candidate
Critical risk elite/high value,Risk/value,Aggressive growth,43405,6272.224250297232,22960108.208369628,777767.9999999999,22182340.208369628,28.520510240032543,0.006487182342393723,2000000.0,0.38888399999999995,Within budget and positive ROI,Recommended campaign candidate
Premium save budget only,Budget tier,Aggressive growth,45511,5981.433757075187,22835253.735594515,833378.5499999998,22001875.185594514,26.400817714344242,0.007113313580339681,2000000.0,0.4166892749999999,Within budget and positive ROI,Recommended campaign candidate
Immediate premium save offer only,Action,Aggressive growth,36407,5883.360892784349,22660704.17107046,753624.8999999999,21907079.27107046,29.06894301272485,0.006518353502384668,2000000.0,0.37681244999999997,Within budget and positive ROI,Recommended campaign candidate
"Top 25,000 by net save value",Top-N,Aggressive growth,25000,4582.8229262024215,21660642.953921493,517499.9999999999,21143142.953921493,40.856314886804824,0.0046826864842272305,2000000.0,0.2587499999999999,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 4 test-and-learn,Priority tier,Aggressive growth,14287,2772.98016824157,19039016.654728524,295740.8999999999,18743275.754728526,63.37735414590451,0.003044548857285849,2000000.0,0.14787044999999996,Within budget and positive ROI,Recommended campaign candidate
"Top 10,000 by net save value",Top-N,Aggressive growth,10000,1946.4027860647657,16463902.141000831,206999.99999999994,16256902.141000831,78.53575913526974,0.0024643003616355097,2000000.0,0.10349999999999997,Within budget and positive ROI,Recommended campaign candidate
Tiers 1 to 3 targeted save,Priority tier,Aggressive growth,7143,1391.539675679343,13689324.514021993,147860.09999999998,13541464.414021993,91.58295181744091,0.0021170204249534117,2000000.0,0.07393004999999998,Within budget and positive ROI,Recommended campaign candidate
"Top 5,000 by net save value",Top-N,Aggressive growth,5000,976.293790090522,10752668.509568429,103500.0,10649168.509568429,102.89051700066115,0.001886601449858534,2000000.0,0.05175,Within budget and positive ROI,Recommended campaign candidate
Tier 1 plus Tier 2 premium save,Priority tier,Aggressive growth,3571,697.7885900189222,8154004.192738449,73919.69999999998,8080084.492738449,109.3089459607987,0.001776827783937433,2000000.0,0.03695984999999999,Within budget and positive ROI,Recommended campaign candidate
Tier 1 executive save only,Priority tier,Aggressive growth,714,139.1233957133619,1923122.7080965457,14779.799999999997,1908342.9080965456,129.11831743978578,0.001506321353184589,2000000.0,0.007389899999999999,Within budget and positive ROI,Recommended campaign candidate
All positive ROI paid-offer candidates,Full eligible pool,Base,71437,4704.974760676553,16620208.953233957,791283.75,15828925.203233957,20.004107506610566,0.006370324709674638,1000000.0,0.79128375,Within budget and positive ROI,Recommended campaign candidate
"Top 50,000 by net save value",Top-N,Base,50000,4584.637326103797,16505576.353340255,694273.5,15811302.853340255,22.773882127634504,0.00567329283630748,1000000.0,0.6942735,Within budget and positive ROI,Recommended campaign candidate
Critical risk elite/high value,Risk/value,Base,43405,4480.160178783738,16400077.29169259,676320.0,15723757.29169259,23.248990554312442,0.005641028123820629,1000000.0,0.67632,Within budget and positive ROI,Recommended campaign candidate
Premium save budget only,Budget tier,Base,45511,4272.452683625133,16310895.525424654,724677.0,15586218.525424654,21.50781455106848,0.006185490069860594,1000000.0,0.724677,Within budget and positive ROI,Recommended campaign candidate
