lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,value_based_action_group,retention_budget_tier,customers,future_churn_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,avg_engagement_score,auto_renew_rate,cancellation_signal_rate,no_recent_activity_rate,model_priority_score,model_priority_recommendation,modeling_reason
Long-tenure,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,54901,0.20209103659314037,127944007.65249598,62930292.62000017,345.0599806925192,14.525390454680899,0.5741971913079907,0.0,0.0,113471911.03302848,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Established,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,25445,0.20204362350167027,49922179.677501105,22945289.31500009,322.5253684417371,14.527863480896238,0.5209274906661426,0.0,0.0,41371858.065745294,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,2292,0.9280104712041884,9638644.935833326,9461020.74666666,710.3609656777196,14.58849678482153,0.005235602094240838,0.0,0.0,27361420.601780087,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,9436,0.26494277236117,17799195.700000018,6194712.907499996,369.6012434647449,14.051332842823653,1.0,1.0,0.0,11753935.978791852,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Established,High engagement,No observed revenue,Elite value,Protect high-value customer,Premium save budget,1016,0.9005905511811023,2752021.512500001,2657632.2825000007,510.32808398950135,14.619778079676868,0.0,0.0,0.0,7576606.20695005,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Early lifecycle,High engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,9180,0.15261437908496733,13038361.30999988,3657180.930000003,243.90076252723313,14.498483416565747,0.6099128540305011,0.0,0.0,6322978.990250004,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,124683,0.035321575515507325,151118556.12750685,4472402.252499987,149.0,14.28145438012585,0.9309047745081527,0.012078631409253868,0.0,5556449.455676869,Secondary model priority,Moderate value exposure; model can improve campaign efficiency.
Established,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,4689,0.3727873747067605,6724748.777500005,2651515.9449999984,327.0812539987204,13.850324636895238,1.0,1.0,0.0,5459951.419694494,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,103171,0.040205096393366356,119979117.97083457,4177921.799999988,142.7471285535664,14.220483770154036,0.9456630254625815,0.010671603454459102,0.0,3476716.438954348,Monitor segment,Use as monitoring population.
Long-tenure,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,1607,0.3634100808960797,2428117.6941666966,1194932.4833333283,255.98236880315295,0.0,0.9682638456751711,0.0,1.0,2443774.4906502697,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,48061,0.02548844177191486,59605365.91749535,1432689.4616666671,152.01243558533253,14.320088923990635,0.9186658621335386,0.0,0.0,2203809.725381391,Highest priority for churn model,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Unknown tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,1821,0.8116419549697969,716083.0950000193,572588.3475000038,237.24656781987917,0.0,1.0,1.0,1.0,1555987.6098867483,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,946,0.8044397463002114,725348.5633333332,562121.1808333353,259.25722339675826,0.0,1.0,1.0,1.0,1521470.7013993182,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Established,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,30789,0.04137841436876807,32846202.93500004,1061035.3324999993,149.0,14.392218395540372,0.7899574523368735,0.01351131897755692,0.0,1325927.1505777054,Secondary model priority,Moderate value exposure; model can improve campaign efficiency.
Established,No observed activity,High revenue,Elite value,Premium win-back,Premium save budget,977,0.8894575230296827,489008.47666666965,425879.891666669,216.91026953258276,0.0,1.0,1.0,1.0,1207022.947824981,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,13578,0.0810134040359405,13008761.2525003,833815.5475000165,149.0,0.0,0.9989689203122698,0.03638238326704964,1.0,1081638.940009301,Monitor segment,Moderate value exposure; model can improve campaign efficiency.
Early lifecycle,High engagement,High revenue,Elite value,Premium win-back,Premium save budget,996,0.40763052208835343,1229253.8374999992,508324.53749999986,331.06224899598396,13.735349130759728,1.0,1.0,0.0,1073299.7011671683,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,Medium revenue,Elite value,Premium win-back,Premium save budget,573,0.9022687609075044,407538.3650000003,365912.2350000002,152.49912739965094,13.21195863768752,1.0,1.0,0.0,1044095.120811519,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,5283,0.07211811470755253,5134217.909166211,444790.50416666444,154.83273392643065,0.0,0.9990535680484574,0.0,1.0,715301.9351504791,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Established,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,28216,0.032463850297703434,28830556.267499924,753472.1674999997,140.1837846139306,14.348014342162688,0.8505812305075134,0.01041962007371704,0.0,622346.2201193648,Monitor segment,Use as monitoring population.
Long-tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,10489,0.09247783392125083,9396449.930834128,700088.2416666661,144.04855880763975,0.0,0.9995233101344265,0.0373724854609591,1.0,611864.7086477893,Monitor segment,Use as monitoring population.
Established,No observed activity,High revenue,Elite value,High-value reactivation,Premium save budget,728,0.20467032967032966,934149.4824999946,310550.5975,239.7495421245421,0.0,0.9601648351648352,0.0,1.0,561166.6360044642,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Established,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,11719,0.031572659783257954,12493390.054166807,352962.8374999999,149.29874562675997,14.452929647828498,0.7542452427681543,0.0,0.0,546160.2196267811,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,51409,0.02312824602696026,41424922.23999862,889062.1349999998,98.9874535587154,13.813395829667957,0.999708222295707,0.003968176778385108,0.0,454812.2913957671,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Long-tenure,Medium engagement,High revenue,Elite value,Protect high-value customer,Premium save budget,735,0.08979591836734693,1081894.4500000086,209191.51500000007,239.8095238095238,7.7813896380881475,0.85578231292517,0.0,0.0,341964.08880612254,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,21972,0.02325687238303295,17792968.147500135,396841.47750000004,99.4191546817161,13.825241898665062,1.0,0.003914072455852903,0.0,324856.6152788094,Monitor segment,Use as monitoring population.
Early lifecycle,High engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,6055,0.056647398843930635,5673845.872499997,241345.35749999993,149.0,14.449875081897464,0.6994219653179191,0.016680429397192404,0.0,306020.33307052014,Monitor segment,Moderate value exposure; model can improve campaign efficiency.
Unknown tenure,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,11031,0.04550811349832291,8450486.94750127,215307.23499999804,149.0,0.0,0.9996373855498142,0.03290726135436497,1.0,270126.5533048656,Monitor segment,Moderate value exposure; model can improve campaign efficiency.
Established,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,79256,0.0107625921065913,57958985.36999282,426008.89499999926,98.99167255475926,13.56969669695212,0.9998485919047139,0.006838598970424952,0.0,215296.92748533195,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Long-tenure,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,3536,0.06080316742081448,3565184.090000054,150190.13749999995,149.0,7.667596107877948,0.9934954751131222,0.04270361990950226,0.0,191186.60829044113,Monitor segment,Moderate value exposure; model can improve campaign efficiency.
Unknown tenure,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,14514,0.03858343668182444,9511694.139999753,223670.58999999965,130.49614165633182,0.0,0.9998622020118506,0.026388314730604934,1.0,185840.4560374808,Monitor segment,Use as monitoring population.
Established,No observed activity,Medium revenue,High value,Targeted retention nurture,Moderate save budget,2545,0.08015717092337918,2172824.9074999434,117726.01750000034,149.0,0.0,0.9956777996070727,0.04911591355599214,1.0,152595.12240825192,Monitor segment,Moderate value exposure; model can improve campaign efficiency.
Early lifecycle,High engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,18361,0.014705081422580469,14144050.08249999,178261.39499999996,115.42061979195033,13.85619530472801,0.9363869070312074,0.004465987691302216,0.0,144706.1946623822,Monitor segment,Use as monitoring population.
Early lifecycle,High engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,2359,0.05129292072912251,2205417.0775000006,91450.06000000001,149.0941076727427,14.469445102608885,0.6697753285290378,0.0,0.0,144211.20101738028,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Long-tenure,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3161,0.07307813982916798,3026555.0574999684,166865.10750000027,141.42581461562796,7.656597125265145,0.9946219550775072,0.041126225877886745,0.0,143247.43932679557,Monitor segment,Use as monitoring population.
Established,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,33052,0.009590947597724797,24187260.391667705,154794.0766666669,99.00150268264149,13.578058034103734,1.0,0.006414135301948445,0.0,125022.95883553207,Monitor segment,Use as monitoring population.
Long-tenure,High engagement,Low revenue,Elite value,Protect high-value customer,Premium save budget,1065,0.046009389671361506,1967035.7633333327,76167.33583333333,222.80438184663535,14.15355314399263,0.9990610328638497,0.0,0.0,119507.62270187795,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Unknown tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,53808,0.016242937853107344,27801751.802505188,222133.30750000058,98.9988105857865,0.0,0.9999814154029141,0.013492417484388938,1.0,112870.70250441412,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Established,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,28575,0.022712160979877515,16560903.644993335,201521.67750000078,99.0,0.0,1.0,0.019282589676290464,1.0,103049.33514015787,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Established,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2046,0.08113391984359726,1584505.877500006,82394.77999999993,140.56207233626589,0.0,0.9951124144672532,0.0552297165200391,1.0,71263.8331808406,Monitor segment,Use as monitoring population.
Unknown tenure,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,4041,0.01311556545409552,3024056.966666542,43967.70083333331,150.60397591355277,0.0,0.9992576095025983,0.0,1.0,66816.54313721847,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Unknown tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,22649,0.015232460594286724,10972111.9949991,76122.83249999974,99.00220760298468,0.0,1.0,0.012671641132058811,1.0,61825.89643710518,Monitor segment,Use as monitoring population.
Established,No observed activity,Medium revenue,Elite value,High-value reactivation,Premium save budget,930,0.04086021505376344,785665.562499996,38390.33250000001,150.2777777777778,0.0,0.9967741935483871,0.0,1.0,59938.45461290324,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Established,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,12003,0.02174456385903524,6560392.409998988,69877.66499999975,99.0,0.0,1.0,0.019245188702824295,1.0,57117.69947913001,Monitor segment,Use as monitoring population.
Long-tenure,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,8971,0.02831345446438524,5770377.892500251,101496.81749999986,98.99286590123732,0.0,0.9998885297068332,0.021848177460706723,1.0,52185.27151028306,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Long-tenure,Medium engagement,Medium revenue,Elite value,Protect high-value customer,Premium save budget,1264,0.020569620253164556,1327345.2400000005,26681.882499999992,152.13924050632912,7.71372835636997,0.9920886075949367,0.0,0.0,40846.07803599682,Monitor segment,High value exposure; model should separate customers who need intervention from customers who would stay anyway.
Established,Medium engagement,Medium revenue,High value,Targeted retention nurture,Moderate save budget,703,0.08392603129445235,625839.8574999968,31122.747500000034,149.0,7.6497029205318965,0.9743954480796586,0.07112375533428165,0.0,40481.70741678525,Monitor segment,Moderate value exposure; model can improve campaign efficiency.
Long-tenure,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,3814,0.030414263240692185,2333687.1024999446,46226.12583333336,99.1990910679951,0.0,1.0,0.021237545883586787,1.0,38105.64751442058,Monitor segment,Use as monitoring population.
Established,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,6063,0.023915553356424212,3721550.3325001653,46605.48750000009,99.0,7.571040556471788,1.0,0.022266204849084613,0.0,23860.04176150425,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Long-tenure,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,2744,0.03097667638483965,1864451.159999926,42487.08749999997,99.0,7.631230329217961,1.0,0.018221574344023325,0.0,21901.598130010916,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Established,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,660,0.05606060606060606,557097.7749999979,20113.892500000013,138.53030303030303,7.645812918702686,0.990909090909091,0.045454545454545456,0.0,16993.191603030315,Monitor segment,Use as monitoring population.
Established,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,2538,0.02206461780929866,1559309.8950000452,18365.49000000002,99.0,7.550751991221835,1.0,0.02048857368006304,0.0,15016.574014184414,Monitor segment,Use as monitoring population.
Long-tenure,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1233,0.025952960259529603,840047.2925000124,15517.547499999995,99.2103271154366,7.612393004209354,1.0,0.0170316301703163,0.0,12736.219034874288,Monitor segment,Use as monitoring population.
Early lifecycle,High engagement,Low revenue,Low value,Low-cost automated retention,Automation only,16502,0.002484547327596655,11081526.722500194,19224.822500000006,98.99260695673252,13.64104590723003,0.9998182038540783,0.0013331717367591808,0.0,9636.293740682951,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Early lifecycle,No observed activity,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1879,0.020223523150612027,1068178.8650000067,10524.474999999999,110.54976051091006,0.0,1.0,0.019691325172964343,1.0,8589.853571048428,Monitor segment,Use as monitoring population.
Early lifecycle,High engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,6859,0.0017495261699956262,4601732.850000016,6949.800000000001,99.0,13.613400945153703,1.0,0.000583175389998542,0.0,5569.567085580989,Monitor segment,Use as monitoring population.
Early lifecycle,Medium engagement,Medium revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1301,0.009992313604919293,776271.599999998,5709.73,107.13297463489623,7.470866718972813,0.9938508839354343,0.006917755572636433,0.0,4613.426730207533,Monitor segment,Use as monitoring population.
Established,Low engagement,Low revenue,Low value,Low-cost automated retention,Automation only,525,0.024761904761904763,322473.93749999907,4533.4575,99.0,3.6911967385606594,1.0,0.02095238095238095,0.0,2322.8572714285715,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Early lifecycle,No observed activity,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,1200,0.008333333333333333,582978.8250000153,1640.925,99.0,0.0,1.0,0.008333333333333333,1.0,1323.6795000000002,Monitor segment,Use as monitoring population.
Early lifecycle,No observed activity,Low revenue,Low value,Low-cost automated retention,Automation only,2877,0.004171011470281543,1495448.9549999484,2323.0350000000003,99.0,0.0,1.0,0.004171011470281543,1.0,1166.362202815433,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Early lifecycle,Medium engagement,Low revenue,Low value,Low-cost automated retention,Automation only,1262,0.006339144215530904,699889.9049999915,1879.0200000000002,99.0,7.511561827056213,1.0,0.006339144215530904,0.0,945.4656893819335,Use for low-cost lifecycle automation,Low individual value; use scalable low-cost messaging.
Early lifecycle,Medium engagement,Low revenue,Core value,Standard lifecycle nurture,Low-cost save budget,563,0.0017761989342806395,313059.532500001,234.87750000000003,99.0,7.4821344729064085,1.0,0.0017761989342806395,0.0,188.23575133214922,Monitor segment,Use as monitoring population.
Long-tenure,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,1317,0.914958238420653,0.0,0.0,0.0,7.537496863486132,0.010630220197418374,0.0015186028853454822,0.0,0.0,Exclude from paid-retention model action,No observed value; paid offers should be avoided.
Established,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,9003,0.7053204487393091,0.0,0.0,0.0,13.175465871019732,0.021548372764634012,0.0005553704320781962,0.0,0.0,Exclude from paid-retention model action,No observed value; paid offers should be avoided.
Long-tenure,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,15239,0.7159262418793884,0.0,0.0,0.0,13.21358073143796,0.030185707723603912,0.00032810551873482514,0.0,0.0,Exclude from paid-retention model action,No observed value; paid offers should be avoided.
Established,Medium engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,771,0.9092088197146563,0.0,0.0,0.0,7.468974387866358,0.0038910505836575876,0.0,0.0,0.0,Exclude from paid-retention model action,No observed value; paid offers should be avoided.
Unknown tenure,No observed activity,No observed revenue,No observed value,Suppress paid offer,No paid budget,8670,0.9806228373702423,0.0,0.0,0.0,0.0,0.004036908881199538,0.0029988465974625142,1.0,0.0,Exclude from paid-retention model action,No observed value; paid offers should be avoided.
Early lifecycle,High engagement,No observed revenue,No observed value,Suppress paid offer,No paid budget,3206,0.7442295695570805,0.0,0.0,0.0,12.94993934984184,0.017155333749220212,0.002495321272613849,0.0,0.0,Exclude from paid-retention model action,No observed value; paid offers should be avoided.
