lifecycle_stage,engagement_tier,revenue_tier,clv_value_tier,churn_risk_tier,value_risk_quadrant,lifecycle_strategy_readout,retention_budget_tier,customers,future_churn_rate,avg_predicted_churn_probability,avg_lifecycle_duration_months,median_lifecycle_duration_months,avg_observed_month_coverage_rate,profit_adjusted_clv_proxy,future_churned_clv_proxy,avg_monthly_value_baseline,lifecycle_model_priority_score,lifecycle_model_recommendation,segment_label,avg_clv_per_customer,bubble_value,decision_zone
Long-tenure,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,14690,0.817426820966644,0.8140968161436886,1.261061946902655,1.0,0.9918707874303851,72578474.78916657,66933351.19250099,831.7606761969595,182135368.9382151,Highest priority lifecycle segment,Long-tenure / High engagement / High revenue / Elite value,4940.67221165191,66933351.19250099,Save-worthiness review
Established,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,7391,0.8193749154376945,0.8154135054039657,1.0819916114192938,1.0,0.997623755849978,27177197.254998144,24622967.524998445,697.0002705993776,67051301.68200815,Highest priority lifecycle segment,Established / High engagement / High revenue / Elite value,3677.0663313486866,24622967.524998445,Save-worthiness review
Long-tenure,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2367,0.9286016054076892,0.918927817543274,3.865230249260667,2.0,0.7986119881208642,9732401.174166724,9551678.760000024,695.4295169694411,27493473.11520194,Highest priority lifecycle segment,Long-tenure / High engagement / No observed revenue / Elite value,4111.703073158735,9551678.760000024,Save-worthiness review
Early lifecycle,High engagement,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,2865,0.5256544502617801,0.522094332185104,1.068760907504363,1.0,0.9992321116928448,5516467.937499996,3826643.274999991,402.5657940663176,8736768.060257595,Highest priority lifecycle segment,Early lifecycle / High engagement / High revenue / Elite value,1925.4687390924944,3826643.274999991,Save-worthiness review
Established,High engagement,No observed revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1039,0.9056785370548605,0.8961426031944747,2.803657362848893,2.0,0.8565820416192655,2773199.184166661,2680643.4741666624,503.0522938723132,7624323.443013984,Highest priority lifecycle segment,Established / High engagement / No observed revenue / Elite value,2669.1041233557853,2680643.4741666624,Save-worthiness review
Long-tenure,High engagement,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,3267,0.8062442607897153,0.798029821280987,3.1068258340985615,2.0,0.9571414954645278,3179716.247500004,2497911.6174999923,149.0,6736979.368783819,Highest priority lifecycle segment,Long-tenure / High engagement / Medium revenue / High value,973.2832101316204,2497911.6174999923,Save-worthiness review
Long-tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1477,0.906567366283006,0.903488314290744,3.1665538253215977,1.0,0.9945624824557204,2096997.9550000264,1893994.5483333596,299.69329722410293,5407794.735124389,Highest priority lifecycle segment,Long-tenure / No observed activity / High revenue / Elite value,1419.7684190927735,1893994.5483333596,Save-worthiness review
Long-tenure,High engagement,Medium revenue,Core value,Critical risk,Standard lifecycle population,Monitor lifecycle trend,Low-cost save budget,3666,0.7244953627932351,0.7166563654000304,3.9871794871794872,2.0,0.9313140365564808,3612146.904166699,2584617.0458333446,138.206401163848,3327674.477888425,Lifecycle monitoring segment,Long-tenure / High engagement / Medium revenue / Core value,985.3101211584012,2584617.0458333446,Risk monitor
Long-tenure,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,21809,0.0627263973588885,0.0648354004430858,1.1078912375624743,1.0,0.9961097667762936,30870258.68333376,1851637.125000002,217.92785852935333,2957533.139211992,Highest priority lifecycle segment,Long-tenure / High engagement / High revenue / Elite value,1415.4825385544389,1851637.125000002,Save-worthiness review
Long-tenure,High engagement,Medium revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1362,0.7812041116005873,0.764060671559415,4.417033773861967,2.0,0.9122182822268596,1403639.1524999968,1023437.707499998,155.62310327949066,2708109.3143875115,Highest priority lifecycle segment,Long-tenure / High engagement / Medium revenue / Elite value,1030.5720649779712,1023437.707499998,Save-worthiness review
Unknown tenure,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1555,0.9877813504823152,0.9831212427594846,1.342122186495177,1.0,0.9983703270648608,825523.07499998,813564.5049999803,241.07073954983923,2420095.578330849,Lifecycle monitoring segment,Unknown tenure / No observed activity / High revenue / Elite value,530.8830064308553,813564.5049999803,Save-worthiness review
Established,No observed activity,High revenue,Elite value,Critical risk,High risk / high value,Immediate save-worthiness review,Premium save budget,1095,0.9205479452054794,0.9153417885703464,1.212785388127854,1.0,0.9990867579908675,941179.8066666628,814373.841666662,247.4027397260274,2339706.375694093,Lifecycle monitoring segment,Established / No observed activity / High revenue / Elite value,859.5249375951258,814373.841666662,Save-worthiness review
Long-tenure,High engagement,Medium revenue,High value,High risk,High risk / high value,Monitor lifecycle trend,Moderate save budget,35210,0.0365237148537347,0.0341515882996898,1.347855722806021,1.0,0.997905945448263,40914655.37249883,1352287.4949999996,149.0,2097705.391188088,Highest priority lifecycle segment,Long-tenure / High engagement / Medium revenue / High value,1162.0180452285952,1352287.4949999996,Save-worthiness review
Long-tenure,No observed activity,Medium revenue,High value,Critical risk,High risk / high value,Immediate save-worthiness review,Moderate save budget,985,0.9258883248730964,0.9032429628873784,3.52994923857868,2.0,0.9753661578460028,670274.6374999922,607888.7099999937,149.0,1735439.8642892614,Lifecycle monitoring segment,Long-tenure / No observed activity / Medium revenue / High value,680.4818654822255,607888.7099999937,Save-worthiness review
Established,High engagement,High revenue,Elite value,High risk,High risk / high value,Premium save timing analysis,Premium save budget,16438,0.0479985399683659,0.0521067304628027,1.0006083465141744,1.0,1.0,20881249.61000012,911713.6925,200.62708358681104,1438830.1682015164,Lifecycle monitoring segment,Established / High engagement / High revenue / Elite value,1270.3035411850663,911713.6925,Save-worthiness review
